$$Name$ParentProduct.Name,Code,Description,Id,MaxBundleComponents,MinBundleComponents,Name,ParentProduct.Name,ParentProductId,Sequence
Maintenance;QuantumBit Starter,,,0y7al00000008DhAAI,1,1,Maintenance,QuantumBit Starter,01tal000000Vw1UAAS,
Training;QuantumBit Starter,,,0y7al00000008DiAAI,1,1,Training,QuantumBit Starter,01tal000000Vw1UAAS,
Software;QuantumBit Complete Solution,,,0y7al00000008DjAAI,,,Software,QuantumBit Complete Solution,01tal000000Vw1hAAC,10
Training;QuantumBit Complete Solution,,,0y7al00000008DkAAI,,,Training,QuantumBit Complete Solution,01tal000000Vw1hAAC,20
Services;QuantumBit Complete Solution,,,0y7al00000008DlAAI,,,Services,QuantumBit Complete Solution,01tal000000Vw1hAAC,30
Memory Capacity;PowerSwerve R750 Rack Server,,,0y7al00000008DmAAI,1,1,Memory Capacity,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,2
Hard Drive;PowerSwerve R750 Rack Server,,,0y7al00000008DnAAI,1,1,Hard Drive,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,3
Processor;PowerSwerve R750 Rack Server,,,0y7al00000008DoAAI,1,1,Processor,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,1
Solution_Architecture;QuantumBit Services Project,Solution_Architecture,,0y7al00000008DpAAI,,,Solution_Architecture,QuantumBit Services Project,01tal000000Vw1QAAS,3
Project_Management;QuantumBit Services Project,Project_Management,,0y7al00000008DqAAI,,,Project_Management,QuantumBit Services Project,01tal000000Vw1QAAS,2
Network Adapter;PowerSwerve R750 Rack Server,,,0y7al00000008DrAAI,1,1,Network Adapter,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,4
Engineering_Resources;QuantumBit Services Project,Engineering_Resources,,0y7al00000008DsAAI,,,Engineering_Resources,QuantumBit Services Project,01tal000000Vw1QAAS,1
